measurement_id,trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,duration_s,timestamp,replicate_id,deviation_individual_pct,calibration_overaspirate_vol,hardware_parameters_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_dispense_speed,hardware_parameters_dispense_wait_time,hardware_parameters_post_asp_air_vol,hardware_parameters_post_retract_wait_time,hardware_parameters_pre_asp_air_vol,metadata_source,hardware_parameters_asp_disp_cycles,hardware_parameters_retract_speed,metadata_replicate,metadata_start_time,metadata_end_time
external_0,trial_1,screening,water,0.05,50.0,0.0142702702702725,14.270270270272501,22.20256350003183,1777240338.3532708,1,71.459459459455,0.0,0.0,10,0.0,0.0,10,0.0,0.0,0.0,0.0,external_data,,,,,
external_1,trial_1,screening,water,0.05,50.0,0.0156036036036034,15.6036036036034,19.00253519997932,1777240338.3543253,2,68.79279279279321,0.0,0.0,10,0.0,0.0,10,0.0,0.0,0.0,0.0,external_data,,,,,
external_2,trial_2,screening,water,0.05,50.0,0.0314729729729721,31.4729729729721,34.80202359997202,1777240338.3543253,1,37.054054054055804,0.01,0.01,30,10.0,0.0,5,0.0,0.0,0.0,0.0,external_data,,,,,
external_3,trial_2,screening,water,0.05,50.0,0.036114114114113,36.114114114113,35.80166990001453,1777240338.3543253,2,27.771771771774006,0.01,0.01,30,10.0,0.0,5,0.0,0.0,0.0,0.0,external_data,,,,,
external_4,trial_3,screening,water,0.05,50.0,0.0638738738738738,63.873873873873805,58.002885600028094,1777240338.3543253,1,27.747747747747603,0.010000000000000002,0.015,20,5.0,0.3,25,10.0,0.0,0.0,0.0,external_data,,,,,
external_5,trial_3,screening,water,0.05,50.0,0.0634234234234244,63.4234234234244,57.00319739995757,1777240338.3543253,2,26.84684684684879,0.010000000000000002,0.015,20,5.0,0.3,25,10.0,0.0,0.0,0.0,external_data,,,,,
external_6,trial_4,screening,water,0.05,50.0,0.04774774774775,47.74774774775,44.00261560000945,1777240338.3543253,1,4.504504504500003,0.002,0.002,15,2.0,0.4,20,3.0,0.0,0.0,0.0,external_data,,,,,
external_7,trial_4,screening,water,0.05,50.0,0.0478378378378383,47.8378378378383,42.403469799959566,1777240338.3543253,2,4.324324324323406,0.002,0.002,15,2.0,0.4,20,3.0,0.0,0.0,0.0,external_data,,,,,
measurement_1777240374292042_1,trial_5,optimization,PVA_DMSO,0.05,50.0,0.02621621621621622,26.216216216216218,25.26016730000265,1777240374.292042,1,47.567567567567565,0.0,,11,0.6000000000000001,0.386,10,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:52:28.838034,2026-04-26T17:52:54.290653
measurement_1777240399415425_1,trial_5,optimization,PVA_DMSO,0.05,50.0,0.03216216216216215,32.162162162162154,22.783509999979287,1777240399.4154258,1,35.6756756756757,0.0,,11,0.6000000000000001,0.386,10,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:52:54.292041,2026-04-26T17:53:19.415425
measurement_1777240449565527_1,trial_6,optimization,PVA_DMSO,0.05,50.0,0.019369369369369373,19.369369369369373,37.73467779997736,1777240449.5655272,1,61.261261261261254,0.0,,6,0.0,0.41000000000000003,21,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:53:31.652301,2026-04-26T17:54:09.565527
measurement_1777240489213211_1,trial_6,optimization,PVA_DMSO,0.05,50.0,0.019909909909909904,19.909909909909903,37.78132180002285,1777240489.213211,1,60.1801801801802,0.0,,6,0.0,0.41000000000000003,21,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:54:09.566760,2026-04-26T17:54:49.213211
measurement_1777240540403766_1,trial_7,optimization,PVA_DMSO,0.05,50.0,0.037567567567567565,37.567567567567565,37.571264199970756,1777240540.403766,1,24.864864864864874,0.0,,17,0.0,0.438,17,0.6000000000000001,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:55:02.594059,2026-04-26T17:55:40.401989
measurement_1777240581411422_1,trial_7,optimization,PVA_DMSO,0.05,50.0,0.035585585585585576,35.58558558558558,37.179304799996316,1777240581.411422,1,28.82882882882885,0.0,,17,0.0,0.438,17,0.6000000000000001,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:55:40.404765,2026-04-26T17:56:21.410379
measurement_1777240626798873_1,trial_8,optimization,PVA_DMSO,0.05,50.0,0.04549549549549551,45.49549549549551,29.567211400019005,1777240626.7988737,1,9.009009009008986,0.0015,,17,2.6,0.5,2,3.7,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:56:37.128309,2026-04-26T17:57:06.798873
measurement_1777240657821300_1,trial_8,optimization,PVA_DMSO,0.05,50.0,0.042252252252252265,42.25225225225226,29.988104700052645,1777240657.8213005,1,15.495495495495476,0.0015,,17,2.6,0.5,2,3.7,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:57:06.800009,2026-04-26T17:57:37.820077
measurement_1777240720839658_1,trial_9,optimization,PVA_DMSO,0.05,50.0,0.05488288288288288,54.88288288288288,46.40681070002029,1777240720.8396587,1,9.765765765765751,0.0078000000000000005,,18,2.3000000000000003,0.377,22,3.7,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:57:54.256551,2026-04-26T17:58:40.838785
measurement_1777240768172205_1,trial_9,optimization,PVA_DMSO,0.05,50.0,0.05414414414414414,54.14414414414414,46.13919410004746,1777240768.1722052,1,8.288288288288273,0.0078000000000000005,,18,2.3000000000000003,0.377,22,3.7,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:58:40.840059,2026-04-26T17:59:28.172205
measurement_1777240823448360_1,trial_10,optimization,PVA_DMSO,0.05,50.0,0.047117117117117115,47.11711711711712,37.21482880000258,1777240823.4483602,1,5.765765765765776,0.0,,13,3.3000000000000003,0.277,19,2.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T17:59:46.095975,2026-04-26T18:00:23.435563
measurement_1777240862014211_1,trial_10,optimization,PVA_DMSO,0.05,50.0,0.0472972972972973,47.2972972972973,36.98041190003278,1777240862.0142114,1,5.405405405405405,0.0,,13,3.3000000000000003,0.277,19,2.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:00:23.448360,2026-04-26T18:01:02.012892
measurement_1777240925425532_1,trial_11,optimization,PVA_DMSO,0.05,50.0,0.047657657657657664,47.657657657657666,46.991469399945345,1777240925.4255323,1,4.684684684684679,0.0,,14,3.5,0.42,20,5.5,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:01:18.278330,2026-04-26T18:02:05.424491
measurement_1777240974615055_1,trial_11,optimization,PVA_DMSO,0.05,50.0,0.047837837837837814,47.83783783783782,46.98059390002163,1777240974.6150558,1,4.324324324324377,0.0,,14,3.5,0.42,20,5.5,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:02:05.425532,2026-04-26T18:02:54.613876
measurement_1777241020213023_1,trial_12,optimization,PVA_DMSO,0.05,50.0,0.05084684684684684,50.84684684684684,25.17888869997114,1777241020.2130234,1,1.693693693693668,0.0103,,12,3.5,0.435,2,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:03:14.938276,2026-04-26T18:03:40.211993
measurement_1777241047345898_1,trial_12,optimization,PVA_DMSO,0.05,50.0,0.0508108108108108,50.8108108108108,25.310941400006413,1777241047.3458989,1,1.6216216216215913,0.0103,,12,3.5,0.435,2,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:03:40.213023,2026-04-26T18:04:07.344363
measurement_1777241095020487_1,trial_13,optimization,PVA_DMSO,0.05,50.0,0.05765765765765765,57.65765765765765,25.387180100020487,1777241095.020487,1,15.315315315315297,0.0198,,13,3.1,0.5,2,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:04:29.476600,2026-04-26T18:04:55.020487
measurement_1777241122022561_1,trial_13,optimization,PVA_DMSO,0.05,50.0,0.058288288288288276,58.28828828828828,25.18726679997053,1777241122.022561,1,16.576576576576546,0.0198,,13,3.1,0.5,2,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:04:55.021944,2026-04-26T18:05:22.021317
measurement_1777241170015704_1,trial_14,optimization,PVA_DMSO,0.05,50.0,0.054216216216216195,54.216216216216196,25.781385399983265,1777241170.0157042,1,8.432432432432385,0.0137,,8,4.5,0.355,2,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:05:43.963559,2026-04-26T18:06:10.015704
measurement_1777241198237240_1,trial_14,optimization,PVA_DMSO,0.05,50.0,0.05360360360360361,53.60360360360361,26.002778899972327,1777241198.2372403,1,7.207207207207217,0.0137,,8,4.5,0.355,2,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,2026-04-26T18:06:10.016869,2026-04-26T18:06:38.237240
